"A.J. Hospital & Research Centre, Mangalore"
"Aakash Healthcare Super Speciality Hospital, Dwarka, New Delhi"
"Jaslok Hospital and Research Centre, Mumbai"
"Action Cancer Hospital, Paschim Vihar, New Delhi"
"Advanced Centre for Treatment, Research and Education in Cancer (ACTREC), Tata Memorial Centre, Navi Mumbai"
"Cancer Institute (WIA), Adyar, Chennai"
AHRR
"AIG Hospitals, Gachibowli"
"All India Institute of Medical Sciences, Bhopal"
"All India Institute of Medical Sciences, New Delhi"
"All India Institute of Medical Sciences, Nagpur"
"All India Institute of Medical Sciences, Raipur"
"All India Institute of Medical Sciences, Bhubaneswar"
"All India Institute of Medical Sciences, Guwahati"
"All India Institute of Medical Sciences, Patna"
"Akash Healthcare Super Speciality Hospital, Dwarka, New Delhi"
"Amala Institute of Medical Sciences, Thrissur"
"American Oncology Institute, Hyderabad"
"American Oncology Institute, Vijayawada"
"Amrita Hospital, Faridabad"
"Amrita Institute of Medical Sciences, Kochi"
"Andhra Hematology & Bone Marrow Transplant Centre, Visakhapatnam"
"American Oncology Institute, Nagpur"
"Apex Hospitals, Jaipur"
"Apollo Hospitals, Bannerghatta Road, Bangalore"
"Apollo Hospitals, Bhubaneswar"
"Apollo Cancer Centre, Madurai"
"Apollo Cancer Centre, Navi Mumbai"
"Apollo Cancer Centre, Teynampet, Chennai"
"Apollo CBCC Cancer Care, Gandhinagar"
"Apollo Excelcare Hospital, Guwahati"
"Apollo Hospitals, Greams Road, Chennai"
"Apollo Hospitals, Indore"
"Apollo Hospitals, Bannerghatta Road, Bengaluru"
"Apollo Gleneagles Hospitals, Kolkata"
"Apollo Hospitals, Navi Mumbai"
"Apollo Hospitals, Visakhapatnam"
"Apollo Hospitals, Health City, Arilova, Visakhapatnam"
"Apollo Hospitals, Bengaluru"
"Apollo Hospitals, Gandhinagar"
"Apollo Hospitals, Jubilee Hills, Hyderabad"
"Indraprastha Apollo Hospitals, New Delhi"
"Apollo Proton Cancer Centre, Chennai"
"Apollo SAGE Hospitals, Bhopal"
"Apollo BGS Hospital, Mysuru"
"ApolloMedics Super Speciality Hospital, Lucknow"
Arete Hospitals
"Army Hospital Research & Referral, Delhi"
"Artemis Hospital, Gurugram"
"Asian Institute of Medical Sciences, Faridabad"
"Aster Whitefield Hospital, Bangalore"
"Aster Whitefield Hospital, Bengaluru"
"Aster Malabar Institute of Medical Sciences, Kozhikode"
"Aster Medcity, Kochi"
"Dr. B. Borooah Cancer Institute, Guwahati"
"Baby Memorial Hospital, Kozhikode"
Bagchi Sri Shankara Cancer Centre and Research Institute Bhubaneswar
"BALCO Medical Centre, Raipur"
"Bansal Hospital, Bhopal"
Bangalore Baptist Hospital
"Basavatarakam Indo American Cancer Hospital & Research Institute, Hyderabad"
"Believers Church Medical College Hospital, Thiruvalla"
"Be Positive Hem-Onc Clinic, Mumbai"
"BGS Gleneagles Global Hospitals, Kengeri, Bangalore"
"Bhagwan Mahaveer Cancer Hospital and Research Centre, Jaipur"
"Bharat Cancer Hospital & Research Centre, Surat"
"Bharath HCG Cancer Hospital, Mysore"
"Bharath Hospital & Institute of Oncology, Mysore"
"BLK Max Super Speciality Hospital, New Delhi"
"BLK Super Speciality Hospital, New Delhi"
